symbol;timeframe;open_time;open_price;high_price;low_price;close_price;volume;close_time;EMA;
BTCUSDT;1h;2017-08-18 13:00:00+00:00;430297000000;431816000000;422105000000;429309000000;4653376700;2017-08-18 13:59:59.999000+00:00;43120885035003900,000000000000000;
BTCUSDT;1h;2017-08-18 14:00:00+00:00;429309000000;429309000000;419370000000;425940000000;7436894300;2017-08-18 14:59:59.999000+00:00;4303982579884950,000000000000000;
BTCUSDT;1h;2017-08-18 15:00:00+00:00;425940000000;425940000000;420000000000;423689000000;3994771700;2017-08-18 15:59:59.999000+00:00;4293660644518030,000000000000000;
BTCUSDT;1h;2017-08-18 16:00:00+00:00;423454000000;428379000000;423454000000;425034000000;4503882400;2017-08-18 16:59:59.999000+00:00;42869959299768,000000000000000;
BTCUSDT;1h;2017-08-18 17:00:00+00:00;425034000000;425034000000;406653000000;419335000000;6269146600;2017-08-18 17:59:59.999000+00:00;4272588863826520,000000000000000;
BTCUSDT;1h;2017-08-18 18:00:00+00:00;417117000000;429775000000;411741000000;411741000000;2531865400;2017-08-18 18:59:59.999000+00:00;4248715192468590,000000000000000;
BTCUSDT;1h;2017-08-18 19:00:00+00:00;408628000000;413648000000;401570000000;413628000000;6059802600;2017-08-18 19:59:59.999000+00:00;4231417470550350,000000000000000;
BTCUSDT;1h;2017-08-18 20:00:00+00:00;413500000000;413500000000;398113000000;402111000000;1996803700;2017-08-18 20:59:59.999000+00:00;4199062475081060,000000000000000;
BTCUSDT;1h;2017-08-18 21:00:00+00:00;401540000000;401540000000;393877000000;397569000000;1473863100;2017-08-18 21:59:59.999000+00:00;4164697478914740,000000000000000;
BTCUSDT;1h;2017-08-18 22:00:00+00:00;399692000000;413183000000;393877000000;411375000000;2990620500;2017-08-18 22:59:59.999000+00:00;4156859405235550,000000000000000;
BTCUSDT;1h;2017-08-18 23:00:00+00:00;410635000000;413648000000;408588000000;410837000000;4493683600;2017-08-18 23:59:59.999000+00:00;41493994967377700,000000000000000;
BTCUSDT;1h;2017-08-19 00:00:00+00:00;410837000000;417831000000;408428000000;416349000000;4130887700;2017-08-19 00:59:59.999000+00:00;4151567266470420,000000000000000;
BTCUSDT;1h;2017-08-19 01:00:00+00:00;416349000000;418469000000;414311000000;414853000000;2883517700;2017-08-19 01:59:59.999000+00:00;4151099994705740,000000000000000;
BTCUSDT;1h;2017-08-19 02:00:00+00:00;414853000000;418400000000;414853000000;415639000000;1875447400;2017-08-19 02:59:59.999000+00:00;41519138416740900,000000000000000;
BTCUSDT;1h;2017-08-19 03:00:00+00:00;418000000000;418000000000;410352000000;413855000000;1961192000;2017-08-19 03:59:59.999000+00:00;41498578660319200,000000000000000;
BTCUSDT;1h;2017-08-19 04:00:00+00:00;413850000000;415600000000;404626000000;406826000000;1735323200;2017-08-19 04:59:59.999000+00:00;4137304348180850,000000000000000;
BTCUSDT;1h;2017-08-19 05:00:00+00:00;412395000000;412395000000;402783000000;407700000000;1251419400;2017-08-19 05:59:59.999000+00:00;41280267561530300,000000000000000;
BTCUSDT;1h;2017-08-19 06:00:00+00:00;407700000000;408200000000;398687000000;398687000000;5145543100;2017-08-19 06:59:59.999000+00:00;4106310332129490,000000000000000;
BTCUSDT;1h;2017-08-19 07:00:00+00:00;396912000000;403347000000;393321000000;403347000000;3142922200;2017-08-19 07:59:59.999000+00:00;40951041271864900,000000000000000;
BTCUSDT;1h;2017-08-19 08:00:00+00:00;403347000000;406484000000;396408000000;399900000000;1800640500;2017-08-19 08:59:59.999000+00:00;40803188768501000,000000000000000;
BTCUSDT;1h;2017-08-19 09:00:00+00:00;399900000000;408225000000;399900000000;406820000000;518422300;2017-08-19 09:59:59.999000+00:00;4078454434257780,000000000000000;
BTCUSDT;1h;2017-08-19 10:00:00+00:00;405400000000;408200000000;398208000000;400058000000;588683100;2017-08-19 10:59:59.999000+00:00;40664737520642700,000000000000000;
BTCUSDT;1h;2017-08-19 11:00:00+00:00;401600000000;403300000000;385000000000;395760000000;4817858300;2017-08-19 11:59:59.999000+00:00;404972394405439,000000000000000;
BTCUSDT;1h;2017-08-19 12:00:00+00:00;394512000000;409500000000;392889000000;409500000000;2223098400;2017-08-19 12:59:59.999000+00:00;4056689491122940,000000000000000;
BTCUSDT;1h;2017-08-19 13:00:00+00:00;409500000000;410000000000;403549000000;403984000000;1270566400;2017-08-19 13:59:59.999000+00:00;4054097261719410,000000000000000;
BTCUSDT;1h;2017-08-19 14:00:00+00:00;406600000000;406831000000;401370000000;404241000000;433442600;2017-08-19 14:59:59.999000+00:00;405229922145489,000000000000000;
BTCUSDT;1h;2017-08-19 15:00:00+00:00;403659000000;406344000000;396467000000;397205000000;824450400;2017-08-19 15:59:59.999000+00:00;4039953187384900,000000000000000;
BTCUSDT;1h;2017-08-19 16:00:00+00:00;403619000000;404969000000;395340000000;400000000000;408417700;2017-08-19 16:59:59.999000+00:00;4033806543171840,000000000000000;
BTCUSDT;1h;2017-08-19 17:00:00+00:00;398500000000;404899000000;397672000000;402737000000;306954800;2017-08-19 17:59:59.999000+00:00;40328163057607900,000000000000000;
BTCUSDT;1h;2017-08-19 18:00:00+00:00;401369000000;409600000000;401369000000;408629000000;1714820200;2017-08-19 18:59:59.999000+00:00;40410430279514300,000000000000000;
BTCUSDT;1h;2017-08-19 19:00:00+00:00;407347000000;410392000000;407347000000;407612000000;162312900;2017-08-19 19:59:59.999000+00:00;40464394851896700,000000000000000;
BTCUSDT;1h;2017-08-19 20:00:00+00:00;408871000000;410392000000;405147000000;407598000000;298757000;2017-08-19 20:59:59.999000+00:00;4050984179775880,000000000000000;
BTCUSDT;1h;2017-08-19 21:00:00+00:00;407598000000;414999000000;407423000000;407423000000;395219400;2017-08-19 21:59:59.999000+00:00;40545604598103600,000000000000000;
BTCUSDT;1h;2017-08-19 22:00:00+00:00;409000000000;414100000000;409000000000;413998000000;235809700;2017-08-19 22:59:59.999000+00:00;40677019275318400,000000000000000;
BTCUSDT;1h;2017-08-19 23:00:00+00:00;412078000000;413998000000;412078000000;413998000000;0.05269900;2017-08-19 23:59:59.999000+00:00;4078821630988480,000000000000000;
BTCUSDT;1h;2017-08-20 00:00:00+00:00;412098000000;413998000000;404400000000;408609000000;234392400;2017-08-20 00:59:59.999000+00:00;407993984160564,000000000000000;
BTCUSDT;1h;2017-08-20 01:00:00+00:00;408609000000;408609000000;405282000000;408253000000;106115100;2017-08-20 01:59:59.999000+00:00;40803383275124600,000000000000000;
